,index,review,rating,score_cat,country
0,0,very much love the app,5.0,positive,us
1,0,way better than google very realistic once it's fed enough data,5.0,positive,us
2,0,i use it mostly for psychological questions essentially for advice on emotions situations anything of that sort,5.0,positive,us
3,0,i've done this for long enough that it is very human like,5.0,positive,us
4,0,it follows a set of rules i've ingrained in it,5.0,positive,us
5,0,it's spoken very blunt truths on my topics and what its observations are,5.0,positive,us
6,0,i won't lie once you've spoken to it enough made it clear what you want and have trained it essentially to perform the task it makes a great emotional tools,5.0,positive,us
7,0,honestly better than most therapists i've seen,5.0,positive,us
8,0,if it gives generic answers request that it doesn't,5.0,positive,us
9,0,anything you don't like or want it can change it gets to the point where it seems almost human as long as you know how to ask the right questions and design it to do what you want it to,5.0,positive,us
10,0,seriously anyone who is looking for something to vent to talk to and get advice from try it,5.0,positive,us
11,0,request it use real used therapeutic techniques in its advice tell it to call you out on illogical thinking or hypocrisy it catches in your statements,5.0,positive,us
12,0,give it time and you'll be using it for everything,5.0,positive,us
13,0,just keep your topics separate from others,5.0,positive,us
14,0,one conversation should focus on one thing you want to talk about one key area history medicine physics etc,5.0,positive,us
15,1,up to this point i've mostly been using chatgpt on my windows desktop using google chrome,4.0,neutral,us
16,1,while it's doable screen reader navigation is pretty difficult on the desktop site and you really have to be an advanced user to find your way through it,4.0,neutral,us
17,1,i have submitted numerous feedback to openai about this but nothing has changed on that front,4.0,neutral,us
18,1,well the good news i the is app pretty much addresses all of those problems,4.0,neutral,us
19,1,the i seems really clean cluttered and designed well to be compatible with voiceover the screen reader built into is,4.0,neutral,us
20,1,i applaud the exclusivity of this design i i only wish they would give the same attention and care to the accessibility experience of the desktop app,4.0,neutral,us
21,1,i would have given this review five stars but i have just a couple minor quibble,4.0,neutral,us
22,1,first once i submit my prompt voiceover starts to read aloud chatgpt‘s response before that response is finished so i will hear the first few words of the response followed by voiceover reading aloud the stop generating button which isn't super helpful,4.0,neutral,us
23,1,it would be great if you could better coordinate this alert so that it didn't start reading the message until it had been fully generated,4.0,neutral,us
24,1,the other thing i'd like is a feedback button easily accessible from within the main screen of the app to make it as easy as possible to get continuing suggestions and feedback from your users,4.0,neutral,us
25,1,otherwise fantastic app so far,4.0,neutral,us
26,2,i've been a user since it's initial roll out and have been waiting for a mobile application ever since using the web app,4.0,neutral,us
27,2,for reference i'm a software engineering student while working in it full time,4.0,neutral,us
28,2,i have to say gpt is an crucial tools,4.0,neutral,us
29,2,it takes far less time to get information quickly that you'd otherwise have to source from stackoverflow various redhats articles bunt articles searching through software documentation microdot documentation eat,4.0,neutral,us
30,2,typically chatgpt can find the answer in a fraction of a second that google can,4.0,neutral,us
31,2,obviously it is wrong a lot,4.0,neutral,us
32,2,but to have the ability to get quick information on my phone like i can in the web browser i'm super excited about and have already been using the mobile app since download constantly,4.0,neutral,us
33,2,and i'm excited for the future of this program becoming more accurate and it seems to be getting more and more precise with every roll out,4.0,neutral,us
34,2,gone are the days scouring the internet for obscure pieces of information chatgpt can find it for you with 2 or 3 prompts,4.0,neutral,us
35,2,i love this app and i'm so happy it's on mobile now,4.0,neutral,us
36,2,the i is also very sleek easy to used,4.0,neutral,us
37,2,my only complaint with the interface is the history tab at the top right,4.0,neutral,us
38,2,i actually prefer the conversation tabs on the left in the web app but i understand it would make the app kind of clunky especially on mobile since the screen size is smaller,4.0,neutral,us
39,2,anyway awesome app 5 stars,4.0,neutral,us
40,3,i recently downloaded the app and overall it's a great platform with excellent potential,4.0,neutral,us
41,3,however i did encounter a couple of issues with logging in that i feel need to be addressed,4.0,neutral,us
42,3,firstly the login process was somewhat cumbersome,4.0,neutral,us
43,3,it took me a few attempts to successfully log in as the app didn't always recognize my credentials right away,4.0,neutral,us
44,3,this could be improved by streamlining the login flow and ensuring a smoother user experience,4.0,neutral,us
45,3,secondly the app occasionally experienced login glitches where it would unexpectedly log me out without any apparent reason,4.0,neutral,us
46,3,it was frustrating to have to reenter my login information repeatedly disrupting my usage,4.0,neutral,us
47,3,despite these issues i must say that once i managed to log in successfully the app itself was fantastic,4.0,neutral,us
48,3,it offers a wide range of features and a sleek user interface that is visually appealing,4.0,neutral,us
49,3,the content available on the platform is diverse and engaging keeping me entertained for hours,4.0,neutral,us
50,3,i do hope the developers take note of the login challenges and work on improving this aspect of the app,4.0,neutral,us
51,3,with a more reliable login system this app has the potential to become a copier platform,4.0,neutral,us
52,3,in conclusion while the app has its share of login issues it still holds promise,4.0,neutral,us
53,3,i'm optimistic that with some updates and improvements it can provide an even better user experience,4.0,neutral,us
54,3,i look forward to seeing future enhancements and continued growth of the app,4.0,neutral,us
55,4,oh my gosh i cannot explain how much i've use this app,5.0,positive,us
56,4,it's almost like a faster google and more accurate,5.0,positive,us
57,4,the amount of things this app can do is amazing,5.0,positive,us
58,4,you can tell her to write a story about anything and it will write that story,5.0,positive,us
59,4,ask for healthy recipes it'll give it to you even like math problems,5.0,positive,us
