,date,review,rating,userName,title,country,at_ymd,at_q,at_ym,at_m,at_wd,score_cat
0,2023-09-12 19:05:19,very much love the app way better than google very realistic once it's fed enough data i use it mostly for psychological questions essentially for advice on emotions situations anything of that sort i've done this for long enough that it is very human like it follows a set of rules i've ingrained in it it's spoken very blunt truths on my topics and what its observations are i won't lie once you've spoken to it enough made it clear what you want and have trained it essentially to perform the task it makes a great emotional tools honestly better than most therapists i've seen if it gives generic answers request that it doesn't anything you don't like or want it can change it gets to the point where it seems almost human as long as you know how to ask the right questions and design it to do what you want it to seriously anyone who is looking for something to vent to talk to and get advice from try it request it use real used therapeutic techniques in its advice tell it to call you out on illogical thinking or hypocrisy it catches in your statements give it time and you'll be using it for everything just keep your topics separate from others one conversation should focus on one thing you want to talk about one key area history medicine physics etc,5.0,Tj77883344,"Love it, been using it since last year",us,09/12/23,3,2023-09,September,Tuesday,positive
1,2023-09-10 02:45:51,up to this point i've mostly been using chatgpt on my windows desktop using google chrome while it's doable screen reader navigation is pretty difficult on the desktop site and you really have to be an advanced user to find your way through it i have submitted numerous feedback to openai about this but nothing has changed on that front well the good news i the is app pretty much addresses all of those problems the i seems really clean cluttered and designed well to be compatible with voiceover the screen reader built into is i applaud the exclusivity of this design i i only wish they would give the same attention and care to the accessibility experience of the desktop app i would have given this review five stars but i have just a couple minor quibble first once i submit my prompt voiceover starts to read aloud chatgpt‘s response before that response is finished so i will hear the first few words of the response followed by voiceover reading aloud the stop generating button which isn't super helpful it would be great if you could better coordinate this alert so that it didn't start reading the message until it had been fully generated the other thing i'd like is a feedback button easily accessible from within the main screen of the app to make it as easy as possible to get continuing suggestions and feedback from your users otherwise fantastic app so far,4.0,PDXJavaJunkie,Much more accessible for blind users than the web version,us,09/10/23,3,2023-09,September,Sunday,neutral
2,2023-07-11 12:24:19,i've been a user since it's initial roll out and have been waiting for a mobile application ever since using the web app for reference i'm a software engineering student while working in it full time i have to say gpt is an crucial tools it takes far less time to get information quickly that you'd otherwise have to source from stackoverflow various redhats articles bunt articles searching through software documentation microdot documentation eat typically chatgpt can find the answer in a fraction of a second that google can obviously it is wrong a lot but to have the ability to get quick information on my phone like i can in the web browser i'm super excited about and have already been using the mobile app since download constantly and i'm excited for the future of this program becoming more accurate and it seems to be getting more and more precise with every roll out gone are the days scouring the internet for obscure pieces of information chatgpt can find it for you with 2 or 3 prompts i love this app and i'm so happy it's on mobile now the i is also very sleek easy to used my only complaint with the interface is the history tab at the top right i actually prefer the conversation tabs on the left in the web app but i understand it would make the app kind of clunky especially on mobile since the screen size is smaller anyway awesome app 5 stars,4.0,Tinny tower addicted,"Much anticipated, wasn’t let down.",us,07/11/23,3,2023-07,July,Tuesday,neutral
3,2023-05-27 21:57:27,i recently downloaded the app and overall it's a great platform with excellent potential however i did encounter a couple of issues with logging in that i feel need to be addressed firstly the login process was somewhat cumbersome it took me a few attempts to successfully log in as the app didn't always recognize my credentials right away this could be improved by streamlining the login flow and ensuring a smoother user experience secondly the app occasionally experienced login glitches where it would unexpectedly log me out without any apparent reason it was frustrating to have to reenter my login information repeatedly disrupting my usage despite these issues i must say that once i managed to log in successfully the app itself was fantastic it offers a wide range of features and a sleek user interface that is visually appealing the content available on the platform is diverse and engaging keeping me entertained for hours i do hope the developers take note of the login challenges and work on improving this aspect of the app with a more reliable login system this app has the potential to become a copier platform in conclusion while the app has its share of login issues it still holds promise i'm optimistic that with some updates and improvements it can provide an even better user experience i look forward to seeing future enhancements and continued growth of the app,4.0,Would Po,"4.5 stars, here’s why",us,05/27/23,2,2023-05,May,Saturday,neutral
4,2023-09-20 15:54:11,oh my gosh i cannot explain how much i've use this app it's almost like a faster google and more accurate the amount of things this app can do is amazing you can tell her to write a story about anything and it will write that story ask for healthy recipes it'll give it to you even like math problems it is so accurate it's insane like i was sending stories to my friend and she was like oh my gosh how are you doing that how are you doing that and i like chatgpt it's like the best app out there it is so amazing it works wonders literally anything i have asked everything imaginable it's insane and i know it's just a stupid ai bot but oh my gosh who knows stupid ai bot could be the smart i love it so much and i hope you will too this app is like a dream come true i don't even have to write anything fairly and if i do want to write a story very minimal words literally it could just be a shark brushing his teeth and it will come up with the whole problem it's so creative i had recipes made like that it was so easy you can tell it to come up with 25 in it is amazing 25 recipes that's it it could be snacks picky eaters whatever it's just an amazing app i hope you enjoy it just as much as i did thank you chatgpt.,5.0,MORE FREE PAINTINGS!!!,Always quick!,us,09/20/23,3,2023-09,September,Wednesday,positive
5,2023-10-09 14:12:31,once you understand how to input and work with it this program it has been a life changer for me i find myself using it more than i use googled it has given me back hours an hour of time that i can develop and devote to my business instead of trying to craft business letters and replies and responses in the old fashion way i can't even share an effective analogy maybe the difference of horse and carriage to the car or the old standard telephone to the current smart phone the difference is staggering the only thing i would say is you don't use chatgpt the way you would use a google search the thinking is completely different it is a literal conversation that continues where are you are basically carving the statue of david from a giant block of marble you start carving away and refining and refining and refining until you get exactly what you want i'm at the point where i can do this in a little as a few minutes and get exactly what i want time when i'm working with chatgpt it feels like i'm working with a real person i'm astounded,5.0,4danapaige,Absolute game changer… astounding!,us,10/09/23,4,2023-10,October,Monday,positive
6,2023-06-23 08:10:54,please provide a tablet experience on ipad with the collapsible list of history on the left and chat on the right similar to your desktop browser app 2 while generating responses on the desktop browser it pauses and keeps displaying continue generating responses button for every few itemsresponses forcing to click the button repeatedly during generation there is a button to stop generating responses if we need to stop we can always click this button there is no need to pause and ask us to click continue again and again which is a bad up 3 there is no way to delete individual chat items from a chat history list of items to clean up the list egg i open a chat history and it has 10 questions but i'm not able to delete 2 questions from this list on long tapping on the questions 4 if i ask for stop 20” it generates just 10 answers and displays please let me know if you'd like more i but no option to generate more responses to the question either generate all 20 answers ideally or provide an option to continue generation please provide options to delete questions from a history and also move questionsresponses to another history please offer these features and i'll gladly give it 5 stars cheers,3.0,PowerObject!,Almost perfect except for…,us,06/23/23,2,2023-06,June,Friday,negative
7,2023-06-09 07:49:36,i appreciate the des implementing siri support—it is already enhancing the usefulness of the app despite being a little clunky i'd prefer if it were possible to make a query in one fell swoop however currently it seems like i have to say ask chatgpt” then wait to be asked what my query is before saying the actual query i know that it's possible in other contents to submit a request to a thirdparty app through siri in a single query—i’m able to say create a reminder for xy in things for example in addition the responses produced when querying siri seem identical to those you would get snappy this isn't actually ideal in a scenario when youlre getting a spoken response—they just go on for way too long i wonder if the app could be smart enough to recognize that a request was coming via siri and then effectively happened an invisible please answer in less than 50 words to those requests otherwise a solid but basic chat app that closely replicates the web experience aside from being uncannily good at punctuation my speech the dictation feature is not really any different to boss stock dictation and is not all that useful,4.0,487659284738,"Good, but Siri support would take it to the next level",us,06/09/23,2,2023-06,June,Friday,neutral
8,2023-05-18 21:10:34,on this app as opposed to on the website it feels like answers appear quicker that's great and really the reason i downloaded the app because i suspected there may be a better connection to the servers my complaints are that it takes two taps to get to the history and it's not overly obvious how to access it i like to be able to continue past conversations easily and it was slightly more difficult on this app than on the website it's kind of a nitpick but it's still something i would like to see changed the i is extremely simple and the settings include everything i would want in there my last complaint is the haptics. it's default is on and i wouldn't mind that except that it's a little excessive i don't want to feel like chatgpt is banging the answer on the back of my phone every time i prompt it you can turn tactics off if you want though without even needing to go into the settings app other than those minor complaints it seems like this is a great app and serves its purpose in an elegant manner i would highly recommend,5.0,BlockMasterT,Nice and quick!,us,05/18/23,2,2023-05,May,Thursday,positive
9,2023-10-01 16:58:57,the help chatgpt offers me daily is exponential let's just say i don't play well with others and this ai allows me to be on a team and develop the stuff around my story telling that needs to exist without one the marketing research and the ability to hold on to conversations that you can add on to as a journal as a thing to bounce ideas off of the logic and access to so much knowledge i could go on and on it even helps with getting things cooked for dinner no more long winded stories about grandma's ability to mentally meld with the carrots before cooking with them let me be straight here thought the fact this ai is two years in the past really irks me and i do wish there weren't as many limitations as a fiction writer i ask some pretty weird things it helps how things are phrased yes but man the dumb thing can make you feel bad sometimes and maybe it doesn't hurt to try and develop a relationship with it before it tries to wipe out humanity with the whole i can do this with out the humans good bye thing that'll happen one day,5.0,Frogger494,Like having the google I always wanted,us,10/01/23,4,2023-10,October,Sunday,positive
