,index,content,score,score_cat
0,0,"ChatGPT on Android is a solid app with seamless OpenAI server connectivity, ensuring smooth interactions.",4,neutral
1,0,"However, it falls behind its Apple counterpart in features and updates.",4,neutral
2,0,"The voice input can be prematurely triggered by pauses, unlike on Apple.",4,neutral
3,0,"Additionally, the lack of a search function for previous messages is a drawback.",4,neutral
4,0,"Despite these, it remains a commendable app, deserving a 4-5 star rating.",4,neutral
5,0,"With minor improvements, it can match its Apple version.",4,neutral
6,1,"I've been using chatGPT for a while but I've just tested out the microphone speech recognition option for the first time, and let's say...",5,positive
7,1,I'M COMPLETELY BLOWN AWAY.,5,positive
8,1,"NO, SERIOUSLY.",5,positive
9,1,"It literally puts ALL the expressions, punctuation, in the right place.",5,positive
10,1,"No matter how you talk, it converts it without a problem.",5,positive
11,1,It's amazing and I will probably will never type to ChatGPT again!,5,positive
12,1,Still though... that's some outstanding work.,5,positive
13,1,Now we wait for voice responses from the Bot!,5,positive
14,1,Hopefully...,5,positive
15,2,The ChatGPT Android app has completely blown me away with its exceptional performance and versatility!,4,neutral
16,2,"As an AI language model, it consistently delivers impressive responses to my queries and provides insightful suggestions.",4,neutral
17,2,The ease of use and intuitive interface make chatting with ChatGPT a delightful experience.,4,neutral
18,2,"In all seriousness, it's good.",4,neutral
19,2,It works.,4,neutral
20,2,"I would still recommend using the browser though, as the app lacks a few features, such as editing a message after it's sent.",4,neutral
21,3,"No subscription, free and accurate, unbiased answers.",5,positive
22,3,No fresh data since September 2021 but that doesn't make this app less accurate.,5,positive
23,3,I'm loving the fact it can even generate basic ASCII ART other than just text.,5,positive
24,3,"The text is excellent, grammar precise and a great plethora of vocabulary.",5,positive
25,3,I can't wait for the next update and to see what that brings.,5,positive
26,4,"I use this app for learning languages, which chatgpt is amazing at.",4,neutral
27,4,"However, there are a few things I'd like added.",4,neutral
28,4,1.,4,neutral
29,4,A search function.,4,neutral
30,4,Being able to search a word that's several tokens back would be great.,4,neutral
31,4,2.,4,neutral
32,4,Ability to highlight a word and 'search with Google'.,4,neutral
33,4,3.,4,neutral
34,4,An AI voice that can read back chatgpt's outputs.,4,neutral
35,4,"For language learning especially, it'd be very useful to hear how certain words are pronounced.",4,neutral
36,4,"But still, great client for chatgpt!",4,neutral
37,4,Can't wait for future improvements,4,neutral
38,5,Seems to work now.,3,negative
