,index,content,score,score_cat,detected_language
0,0,chatgpt on android is a solid app with seamless openai server connectivity ensuring smooth interactions,4,neutral,en
1,0,however it falls behind its apple counterpart in features and updates,4,neutral,en
2,0,the voice input can be prematurely triggered by pauses unlike on apple,4,neutral,en
3,0,additionally the lack of a search function for previous messages is a drawback,4,neutral,en
4,0,despite these it remains a commendable app deserving a 45 star ratings,4,neutral,en
5,0,with minor improvements it can match its apple version,4,neutral,en
6,1,i've been using chatgpt for a while but i've just tested out the microphone speech recognition option for the first time and let's say... i'm completely blown away,5,positive,en
7,1,no seriously,5,positive,en
8,1,it literally puts all the expressions punctuation in the right place,5,positive,en
9,1,no matter how you talk it converts it without a problem,5,positive,en
10,1,it's amazing and i will probably will never type to chatgpt again,5,positive,en
11,1,still though... that's some outstanding work,5,positive,en
12,1,now we wait for voice responses from the both,5,positive,en
13,1,hopefully...,5,positive,en
14,2,the chatgpt android app has completely blown me away with its exceptional performance and versatility,4,neutral,en
15,2,as an ai language model it consistently delivers impressive responses to my queries and provides insightful suggestions,4,neutral,en
16,2,the ease of use and intuitive interface make chatting with chatgpt a delightful experience,4,neutral,en
17,2,in all seriousness it's good,4,neutral,en
18,2,it works,4,neutral,en
19,2,i would still recommend using the browser though as the app lacks a few features such as editing a message after it's sent,4,neutral,en
20,3,no subscription free and accurate unbiased answers,5,positive,en
21,3,no fresh data since september 2021 but that doesn't make this app less accurate,5,positive,en
22,3,i'm loving the fact it can even generate basic acid art other than just text,5,positive,en
23,3,the text is excellent grammar precise and a great plethora of vocabulary,5,positive,en
24,3,i can't wait for the next update and to see what that brings,5,positive,en
25,4,i use this app for learning languages which chatgpt is amazing at,4,neutral,en
26,4,however there are a few things i'd like added,4,neutral,en
27,4,1. a search function,4,neutral,en
28,4,being able to search a word that's several tokens back would be great,4,neutral,en
29,4,2. ability to highlight a word and search with googled,4,neutral,en
30,4,3. an ai voice that can read back chatgpt's outputs,4,neutral,en
31,4,for language learning especially it'd be very useful to hear how certain words are pronounced,4,neutral,en
32,4,but still great client for chatgpt!,4,neutral,en
33,4,can't wait for future improvements,4,neutral,en
34,5,seems to work now,3,negative,en
35,5,app seems nice but has two issues,3,negative,en
36,5,the website mentions that users can enable voice conversations in settings i app i new features i voice conversations toggle on but this setting doesn't exist,3,negative,en
37,5,also when using voice dictation to compose a prompt it writes mandarin text using simplified characters rather than standard formtraditional characters,3,negative,en
38,6,this app is a mixed bag,3,negative,en
39,6,on one hand response times are vastly superior to those in the browser custom instructions set in the browser are carried over and the ability to say what you want as a message is a crucial accessibility feature,3,negative,en
40,6,on the other hand messages are not possible to edit which is a severe shortcoming in my opinion,3,negative,en
41,6,the app is also quite basic and any discussions done in the browser can't be continued in the app,3,negative,en
42,6,overall it has great potential and can easily be improved,3,negative,en
43,7,you've been using chatgpt ai for a while and it's among the best ai companions,5,positive,en
44,7,it's lightningfast and responsive aiding you effectively,5,positive,en
45,7,however the app lags behind the web version in performance,5,positive,en
46,7,the ai provides insightful and accurate responses for various tasks,5,positive,en
47,7,the app interface is clean and userfriendly but it can stutter compared to the web version,5,positive,en
48,7,despite this it's a gamechanger and a great onthe tools,5,positive,en
49,7,some performance optimization could make it perfect,5,positive,en
50,8,voice conversations choppy doesn't work anymore,3,negative,en
51,8,it was working great but then one day all of the voices never choppy and clicks,3,negative,en
52,8,i can't make out what they're saying anymore,3,negative,en
53,8,it also has a much harder time picking up what i'm saying,3,negative,en
54,8,sometimes it thinks i'm just saying bye,3,negative,en
55,8,cleared cache reinstalled didn't help,3,negative,en
56,8,anyways great app otherwise looking forward to fixes,3,negative,en
57,9,i love the app so far and voice is great but a few issues need to be ironed out before a five star is reasonable 1. voice doesn't recognize for about a second or a little less,3,negative,en
58,9,once it tells you to talk you have to wait about a second before it actually recognizes what you say,3,negative,en
59,9,2. when you leave voice to go back to messages you always have to scroll down,3,negative,en
60,9,3. the scrolltobottom button appears even if you are at the bottom,3,negative,en
61,9,4. no way to view message log during voice communication,3,negative,en
62,10,the app is good but there's an issue with chat history syncing,2,negative,en
63,10,conversations initiated on the web version don't appear in the app significantly affecting the apps usefulness,2,negative,en
64,10,additionally attempting to refresh the chat history brings up an error occurred message,2,negative,en
65,10,in essence this is an app that actually limits access to the model,2,negative,en
66,11,the chatgpt app is absolutely phenomenal,5,positive,en
67,11,it's become an indispensable tool in my daily life,5,positive,en
68,11,the apps ability to provide quick accurate and insightful information across a wide range of topics is truly impressive,5,positive,en
69,11,the interface is userfriendly making it a breeze to interact with this air,5,positive,en
70,11,whether i need answers to complex questions assistance with language and writing or just some casual conversation chatgpt excels at it all,5,positive,en
71,11,it's like having a knowledgeable friend in your pocket at all,5,positive,en
72,12,the app is way better than the website,5,positive,en
73,12,i have only two issues thought first it requires phone number for sign up but it asks you on website too second that's a very little bug i didn't found any other bug even small but when i scroll down the chat i must wait a couple of seconds and once down it appears the button to go down anyway,5,positive,en
74,12,however it's not that annoying,5,positive,en
75,12,it also have longterm memory and can learn rapidly,5,positive,en
76,12,you deserve 5 stars at all,5,positive,en
77,13,i've been using this ai app for a while now and i'm truly impressed with its capabilities,5,positive,en
78,13,it consistently exceeds my expectations,5,positive,en
79,13,the apps userfriendly interface makes it incredibly easy to navigate and utilize its features effectively,5,positive,en
80,13,the aids responses are not only prompt but also remarkably accurate,5,positive,en
81,13,i appreciate how it adapts to my preferences and provides personalized recommendations,5,positive,en
82,13,whether it's helping me with research answering questions or even just engaging in casual cover,5,positive,en
83,14,the voice conversations feature is fantastic but has some shortcomings that need to be fixed,5,positive,en
84,14,first when i use it in the car it drops out periodically and doesn't realize that i never heard the missing part,5,positive,en
85,14,instead it should pause or restart when it reestablished connection,5,positive,en
86,14,ideally it sends the audio stream ahead of time so that a cell network glitch isn't noticeable by the enduser.,5,positive,en
87,14,it would also be good if it remembered our previous conversation instead of losing context,5,positive,en
88,15,this app is improving by the moment,5,positive,en
89,15,with minimal input from me just a few times i have marked a response as being a good response it has continually improved the way it responds to me specifically,5,positive,en
90,15,i'm no programmer but i had imagined what the interactions would be like with a personal ai assistant and with each interaction it gets closer to that ideal,5,positive,en
91,15,using this app for only the most basic if it's capabilities i have freed up hours of time each week,5,positive,en
92,15,11 hawk so far to be specific,5,positive,en
93,16,i've been using the chatgpt app for some time now and it has truly impressed me,5,positive,en
94,16,the aids responses are consistently helpful informative and engaging,5,positive,en
95,16,the interface is userfriendly and it's easy to have meaningful conversations on a wide range of topics,5,positive,en
96,16,i particularly appreciate the apps reliability and the convenience of having access to this ai assistant on my mobile device,5,positive,en
97,16,overall chatgpt is a valuable tool that enhances productivity and provides answers to various questions,5,positive,en
98,16,i high,5,positive,en
99,17,i updated my review from 2 to 4 stars because the app now works on my chromebook after a recent update,4,neutral,en
100,17,earlier i was not able to log in with the chromebook because the app could not find any suitable browser,4,neutral,en
101,17,now it can,4,neutral,en
102,17,in my case the app found and used edge which was not the default browser,4,neutral,en
103,17,i want to point out that the app never had any issues on my android phone,4,neutral,en
104,17,the app seems to have all the features that i liked in the web version,4,neutral,en
105,17,convenient speech to text is a plus,4,neutral,en
106,18,easily the best app i've ever downloaded,5,positive,en
107,18,highly impressed,5,positive,en
108,18,i only have 1 concern at the moment and that is the fear of potentially losing a chat or chats getting too long for the ai to remember past details,5,positive,en
109,18,would love to see 1. a way to save chats permanently,5,positive,en
110,18,2. a search function so that i can search for past information so that i can copy and paste it to refresh the aids memory for context that has fallen outside it's context window,5,positive,en
111,19,overall the app is quite useful but there are a couple of bugs that need attention,4,neutral,en
112,19,firstly the code syntax doesn't have a distinct visual style from the normal text which makes it challenging to differentiate,4,neutral,en
113,19,secondly when the text edit box is expanded in dark theme the text appears black making it difficult to ready,4,neutral,en
114,19,i hope these issues get fixed soon as they would greatly improve the apps usability.,4,neutral,en
115,20,the app interface is simple and easy to use but i have some suggestions : 1 add optional audio reader for answers,4,neutral,en
116,20,2 when asking the ai using microphone it's better to send the question automatically without the need to press the sending button so it gives the atmosphere of realize conversation,4,neutral,en
117,20,please take it into consideration thanks for your efforts keep it up,4,neutral,en
118,21,it's like having a personal assistant who is capable of doing most simple tasks instantaneously,4,neutral,en
119,21,write an email give you instructions on how to do many webbed tasks help you do research... those are just some of the most basic things the app can do,4,neutral,en
120,21,i think the most involved aspect of using this app is figuring out and exploring all of the things it can do,4,neutral,en
121,22,i've been using the chatgpt for a while now and i'm thoroughly impressed with its capabilities,5,positive,en
122,22,the generated responses are surprisingly natural making conversations feel smooth and engaging,5,positive,en
123,22,the apps ability to understand context and provide relevant answers is truly remarkable,5,positive,en
124,22,i've found it to be a valuable tool for brainstorming getting quick information and even just for some lighthearted conversations,5,positive,en
125,22,while there's room for improvement in occasional under,5,positive,en
126,23,it's a good start,3,negative,en
127,23,there are a few additions that would make it great thought,3,negative,en
128,23,1 enable an option to choose ve by default,3,negative,en
129,23,one less clicks,3,negative,en
130,23,2 after asking a question the keyboard remains on screen taking up a third of the screen space and i have to manually minimize it,3,negative,en
131,23,automatically hiding it would be a better up,3,negative,en
132,23,one less clicks,3,negative,en
133,23,3 include same options on the web version including access to custom instructions plains and new beta features,3,negative,en
134,23,4 include a text to speech option,3,negative,en
135,24,amazing it's sleek and professional looking without looking overly corporate and the performance is faster than using a browser in mobile,4,neutral,en
136,24,only complaint is that in the process of making it simple they removed some qualityoflife features such as editing prompts hiding edited prompts that were made in the browser and anything before and after regenerating a prompt in both browser and app and placing all previous chats into a history section instead of just putting it in the sidebar,4,neutral,en
137,25,smooth design and wonderful experience,4,neutral,en
138,25,however i have some criticisms i would like to have easy access to my conversation history without having to go through the entire chat history,4,neutral,en
139,25,when i open an old conversation it scrolls from the first text i sent to the last one causing a long waiting time,4,neutral,en
140,25,the code blocks don't come with colors they only display as black text on a white background,4,neutral,en
141,26,i use chatgpt a lot for my studies and was happy when they announced the app,4,neutral,en
142,26,the app is cool and simple but it'd be great to bring some of the features on the website into the app,4,neutral,en
143,26,like the design and layout,4,neutral,en
144,26,for example it's a bit long to have to go through the history to get my chats,4,neutral,en
145,26,and it would really also help if they added a search feature so you can search for keywords in your previous responses,4,neutral,en
146,27,this app is better than i expected,4,neutral,en
147,27,the interface is minimalist just like the site and the responses are quick,4,neutral,en
148,27,it doesn't take much space either but i noticed it uses a lot of internet trafficmobile dataconsidering it runs on cloud based systems but either way i really appreciate this mobile app,4,neutral,en
149,27,easy to use straight to the point,4,neutral,en
150,28,i'm very impressed with my experience,5,positive,en
151,28,especially with how fast the response is and the clean interface just makes it better,5,positive,en
